case,stream_id,name,class,pcp,deadline_us,wcrt_us,deadline_status
generated\baseline\test_case_1,0,Stream0,A,2,1000,764.904,OK
generated\baseline\test_case_1,1,Stream1,A,2,1000,764.904,OK
generated\baseline\test_case_1,2,Stream2,A,2,1000,728.448,OK
generated\baseline\test_case_1,3,Stream3,A,2,1000,728.448,OK
generated\baseline\test_case_1,4,Stream4,B,1,1000,1057.392,MISS
generated\baseline\test_case_1,5,Stream5,B,1,1000,1057.392,MISS
generated\baseline\test_case_1,6,Stream6,B,1,1000,1081.752,MISS
generated\baseline\test_case_1,7,Stream7,B,1,1000,1081.752,MISS
generated\baseline\test_case_2,0,Stream0,A,2,1143,645.76,OK
generated\baseline\test_case_2,1,Stream1,A,2,1143,645.76,OK
generated\baseline\test_case_2,2,Stream2,A,2,1000,658.56,OK
generated\baseline\test_case_2,3,Stream3,A,2,1000,658.56,OK
generated\baseline\test_case_2,4,Stream4,B,1,1000,811.2,OK
generated\baseline\test_case_2,5,Stream5,B,1,1000,811.2,OK
generated\baseline\test_case_2,6,Stream6,B,1,1976,853.76,OK
generated\baseline\test_case_2,7,Stream7,B,1,1976,853.76,OK
generated\baseline\test_case_3,0,Stream0,A,2,1000,626.08,OK
generated\baseline\test_case_3,1,Stream1,A,2,1000,626.08,OK
generated\baseline\test_case_3,2,Stream2,A,2,1236,625.6,OK
generated\baseline\test_case_3,3,Stream3,A,2,1236,625.6,OK
generated\baseline\test_case_3,4,Stream4,B,1,1994,874.24,OK
generated\baseline\test_case_3,5,Stream5,B,1,1994,874.24,OK
generated\baseline\test_case_3,6,Stream6,B,1,1000,926.72,OK
generated\baseline\test_case_3,7,Stream7,B,1,1000,926.72,OK
generated\heavy\test_case_1,0,Stream0,A,2,1000,1305.024,MISS
generated\heavy\test_case_1,1,Stream1,A,2,1000,1305.024,MISS
generated\heavy\test_case_1,2,Stream2,A,2,1039,1277.304,MISS
generated\heavy\test_case_1,3,Stream3,A,2,1039,1277.304,MISS
generated\heavy\test_case_1,4,Stream4,A,2,1932,1296.288,OK
generated\heavy\test_case_1,5,Stream5,A,2,1932,1296.288,OK
generated\heavy\test_case_1,6,Stream6,B,1,1166,1758.456,MISS
generated\heavy\test_case_1,7,Stream7,B,1,1166,1758.456,MISS
generated\heavy\test_case_1,8,Stream8,B,1,1000,1805.496,MISS
generated\heavy\test_case_1,9,Stream9,B,1,1000,1805.496,MISS
generated\heavy\test_case_1,10,Stream10,B,1,1000,1792.224,MISS
generated\heavy\test_case_1,11,Stream11,B,1,1000,1792.224,MISS
generated\heavy\test_case_2,0,Stream0,A,2,1000,1174.4,MISS
generated\heavy\test_case_2,1,Stream1,A,2,1000,1174.4,MISS
generated\heavy\test_case_2,2,Stream2,A,2,1000,1193.12,MISS
generated\heavy\test_case_2,3,Stream3,A,2,1000,1193.12,MISS
generated\heavy\test_case_2,4,Stream4,A,2,1113,1170.08,MISS
generated\heavy\test_case_2,5,Stream5,A,2,1113,1170.08,MISS
generated\heavy\test_case_2,6,Stream6,B,1,1762,1597.6,OK
generated\heavy\test_case_2,7,Stream7,B,1,1762,1597.6,OK
generated\heavy\test_case_2,8,Stream8,B,1,1296,1602.56,MISS
generated\heavy\test_case_2,9,Stream9,B,1,1296,1602.56,MISS
generated\heavy\test_case_2,10,Stream10,B,1,1149,1594.4,MISS
generated\heavy\test_case_2,11,Stream11,B,1,1149,1594.4,MISS
generated\heavy\test_case_3,0,Stream0,A,2,1384,1285.368,OK
generated\heavy\test_case_3,1,Stream1,A,2,1384,1285.368,OK
generated\heavy\test_case_3,2,Stream2,A,2,1980,1285.2,OK
generated\heavy\test_case_3,3,Stream3,A,2,1980,1285.2,OK
generated\heavy\test_case_3,4,Stream4,A,2,1127,1277.976,MISS
generated\heavy\test_case_3,5,Stream5,A,2,1127,1277.976,MISS
generated\heavy\test_case_3,6,Stream6,B,1,1000,1611.12,MISS
generated\heavy\test_case_3,7,Stream7,B,1,1000,1611.12,MISS
generated\heavy\test_case_3,8,Stream8,B,1,1000,1606.92,MISS
generated\heavy\test_case_3,9,Stream9,B,1,1000,1606.92,MISS
generated\heavy\test_case_3,10,Stream10,B,1,1000,1615.824,MISS
generated\heavy\test_case_3,11,Stream11,B,1,1000,1615.824,MISS
provided\test_case_1,0,Stream0,A,2,1000,603.2,OK
provided\test_case_1,1,Stream1,A,2,1000,603.2,OK
provided\test_case_1,2,Stream2,A,2,1264,632.8,OK
provided\test_case_1,3,Stream3,A,2,1264,632.8,OK
provided\test_case_1,4,Stream4,B,1,1880,884.48,OK
provided\test_case_1,5,Stream5,B,1,1880,884.48,OK
provided\test_case_1,6,Stream6,B,1,1000,808.0,OK
provided\test_case_1,7,Stream7,B,1,1000,808.0,OK
provided\test_case_2,0,Stream0,A,2,1449,1087.2,OK
provided\test_case_2,1,Stream1,A,2,1449,1087.2,OK
provided\test_case_2,2,Stream2,A,2,1089,1175.28,MISS
provided\test_case_2,3,Stream3,A,2,1089,1175.28,MISS
provided\test_case_2,4,Stream4,B,1,1275,1646.4,MISS
provided\test_case_2,5,Stream5,B,1,1275,1646.4,MISS
provided\test_case_2,6,Stream6,B,1,1000,1626.48,MISS
provided\test_case_2,7,Stream7,B,1,1000,1626.48,MISS
provided\test_case_3,0,Stream0,A,2,1000,601.6,OK
provided\test_case_3,1,Stream1,A,2,1000,601.6,OK
provided\test_case_3,2,Stream2,A,2,1000,574.56,OK
provided\test_case_3,3,Stream3,A,2,1000,574.56,OK
provided\test_case_3,4,Stream4,B,1,1000,919.2,OK
provided\test_case_3,5,Stream5,B,1,1000,919.2,OK
provided\test_case_3,6,Stream6,B,1,1000,957.12,OK
provided\test_case_3,7,Stream7,B,1,1000,957.12,OK
